text,fixed
は？,哈？
"... ?.{1,3}(?!.) ?",……
... ?,…
I ’m,I'm
did n’t,didn't
"\u0020?~\u0020?",～
\u0020?――,──
\u0020?--,──
\u0020?goa’uld\u0020?,──
\u0020?Goa’uld\u0020?,──
\u0020?something\u0020?,
\u0020?Something\u0020?,
制片人,制作人
天花板社长,天井社长
天花板,天井
283制片厂,283事务所
283制片,283事务所
283制片公司,283事务所
万达偶像新诺娃大奖赛,Wonder.Idol.Nova.Grandprix.
小行星3626,大崎
小行星3626先生,大崎
小行星11530,华丽
叶月先生,叶月
天马座,哇啊
哥本哈根,嗯哼
一夜情,临阵磨枪
大丈夫だ,没有问题
恋爱钟,恋钟
爱钟,恋钟
爱情钟,恋钟
情钟,恋钟
一千雪,千雪
周旋,巡
妹妹公主,咲耶
球迷,粉丝
擦屁股,收拾
小七,奈酱
小娜,奈酱
小夏,奈酱
摩美丽,摩美美
灯芯织,灯织
灯笼织物,灯织
相信灯塔,相信灯织
芙蓉,冬优
Choco 学长,巧克学姐
主唱课,声乐课
视觉课,形象课
安提卡,L'Antica
Kiriling,雾雾
富富,呼呼
六出花,ALSTROEMERIA
感恩节,感谢祭
灯饰之星,illumination STARS
通口惠,巡
